"Compound","N_Obs","LFC_23_vs_2","P_23_vs_2","LFC_23_vs_18","P_23_vs_18","LFC_23_vs_26","P_23_vs_26","Q_23_vs_2","Q_23_vs_18","Q_23_vs_26","Sig_23_vs_2","Sig_23_vs_18","Sig_23_vs_26"
"CDCA",126,0.0711477794646404,0.793933167802576,-0.276644988786199,0.311076201505413,-0.013985636669178,0.95986073959557,0.871390062222339,0.480884298287278,0.988086923628962,"ns","ns","ns"
"GCDCA",126,0.494069315846727,0.000241484725757658,0.201315936554136,0.122838447644093,0.00197553427803876,0.988086923628962,0.00155240180844209,0.240336093216704,0.988086923628962,"**","ns","ns"
"TCDCA",126,0.813700540897567,5.77909940713652e-07,0.393032797920589,0.0109375121704824,0.162040677610169,0.296898619126161,1.30029736660572e-05,0.0402411935716976,0.477158495024187,"***","*","ns"
"UDCA",103,-0.183990194007358,0.411078139532398,-0.191599768280443,0.382258691707347,-0.089542035249166,0.691205475579101,0.560561099362362,0.537551285213457,0.818532800027883,"ns","ns","ns"
"GUDCA",126,-0.0771920750780599,0.516262220879559,-0.0620262105884155,0.601808976933848,-0.191930517381689,0.116207092311485,0.645327776099448,0.731929836811437,0.237696325182583,"ns","ns","ns"
"TUDCA",125,0.193717693434033,0.171055585635584,0.251584312948152,0.0735403674758733,0.00890803696571815,0.950088186440458,0.32072922306672,0.183850918689683,0.988086923628962,"ns","ns","ns"
"DCA",121,-0.334470065653794,0.0533374970795869,-0.136296686839919,0.42686895519253,0.165956428617139,0.333228331389258,0.141187492269495,0.564973617166584,0.483718545565052,"ns","ns","ns"
"GDCA",121,0.15441645757023,0.320589532191518,0.178287626495891,0.251920016294045,0.108279596864069,0.485003764337835,0.480884298287278,0.436015412816617,0.623576268434359,"ns","ns","ns"
"LCA",120,-0.0998045500845287,0.281288424622903,0.229177452338705,0.0158536855768628,0.396117351541028,5.80555473377732e-05,0.468814041038171,0.0475610567305884,0.000435416605033299,"ns","*","***"
"GLCA",124,0.611008936859902,2.11332638681426e-05,0.606491050656275,2.39879622228658e-05,0.770303944269469,2.34117429285461e-07,0.000215891660005792,0.000215891660005792,1.05352843178457e-05,"***","***","***"
"TLCA",121,0.465480157616046,0.0116252336984904,0.578862471919797,0.00160760615012435,0.31691010155626,0.0889510156329777,0.0402411935716976,0.00723422767555956,0.210673458078105,"*","**","ns"
"CA",126,0.429266101324123,0.101495992829874,-0.34739864592821,0.183947530755338,-0.0894657926512525,0.736294832268885,0.228365983867216,0.331105555359608,0.849570960310252,"ns","ns","ns"
"GCA",126,0.505240866259509,0.000386033607503701,0.311551784850431,0.0253647333281045,-0.00386850200011002,0.977997384076896,0.00217143904220832,0.071338312485294,0.988086923628962,"**","ns","ns"
"TCA",126,0.654325135679255,2.26697124134727e-05,0.360484172525746,0.0157186194057228,0.042488272229565,0.776955761709304,0.000215891660005792,0.0475610567305884,0.871390062222339,"***","*","ns"
"TDCA",120,0.600343831049831,0.000453181426818609,0.458436313320826,0.00641132035380591,0.267069652357068,0.111470987335299,0.00226590713409305,0.0262281287201151,0.237696325182583,"**","*","ns"
"Total_BA",126,0.42382716227609,0.00170714661633711,0.0851404924944587,0.517702190298953,0.0626390461078563,0.64072690310714,0.00682858646534844,0.776553285448429,0.854302537476187,"**","ns","ns"
"Glycine_Conjugated",126,0.414646577690681,0.00168707989097495,0.217305704710543,0.0932563554150442,0.0119535085291314,0.927365177846578,0.00682858646534844,0.223815252996106,0.927365177846578,"**","ns","ns"
"Taurine_Conjugated",126,0.712676606256779,3.73063412757693e-06,0.387963781275846,0.00868696680948883,0.142798852385759,0.336061465442162,4.47676095309232e-05,0.0260609004284665,0.57610536932942,"***","*","ns"
"Unconjugated",126,0.0449327445098394,0.841787997727771,-0.254096662446972,0.260602819740547,0.0559621666298403,0.807520540821793,0.918314179339386,0.521205639481095,0.918314179339386,"ns","ns","ns"
