"Compound","PC1_Contrib","PC2_Contrib","PC3_Contrib"
"CDCA",2.26421346324488,14.4187583470586,13.0050540417943
"GCDCA",14.1286415771675,0.621404571045974,0.593130237798971
"TCDCA",8.88320913030303,8.3288512300655,2.14094112109234
"UDCA",3.35538472671038,13.9476949799409,10.6629124472538
"GUDCA",9.7572619708123,0.00959566677514406,1.00815860033576
"TUDCA",7.43208029634987,3.82539525372974,2.25334788084007
"DCA",2.86631193462094,21.3605893091539,0.868519290454565
"GDCA",10.9012322795719,1.88282684675741,4.76028670614941
"LCA",0.0427811263729259,5.69882926227708,9.70869586302914
"GLCA",2.86008962503787,5.77726588680354,23.3618404505677
"TLCA",5.01333976277672,0.688240213890068,13.4080453156917
"CA",0.214129723289457,12.1120519132661,14.098629065372
"GCA",12.5160060573315,1.57000003646242,0.0248908575889275
"TCA",7.82973995910807,8.60991486852075,1.3921645253739
"TDCA",11.9355783673027,1.148581614253,2.71338359665742
